"ଟ୍ସୁନାମି ପଳାନ୍ତୁବାଳା ପାଇଁ କେଉଁ ଜୁତା ସର୍ବୋତ୍ତମ?","ମଜବୁତ୍‌ ବନ୍ଦ-ଟୋ ଜୁତା, ଯାହା ଦୌଡ଼ିବା ସମୟରେ ଛିନ୍ନ ହେବା ନାହିଁ।"
"ଟ୍ସୁନାମି ପାଇଁ ଘର ପ୍ରସ୍ତୁତ କିପରି କରିବେ?","ପଳାଇବା ରାସ୍ତା ଜାଣନ୍ତୁ, ପାଣି ହିଟର୍ ସୁରକ୍ଷିତ କରନ୍ତୁ, ୟୁଟିଲିଟି ଉଚ୍ଚ କରନ୍ତୁ, ଆପତ୍କାଳୀନ କିଟ୍‌ ରଖନ୍ତୁ।"
"ଟ୍ସୁନାମି ଜୋନରେ ଘର ଉଚ୍ଚ କରିବା ଉଚିତ କି?","ଯଦି ଢାଞ୍ଞା ଏବଂ ଆର୍ଥିକ ଭାବରେ ସମ୍ଭବ, ପୋଷ୍ଟ/ପିଲିଂରେ ଉଚ୍ଚତା ବିଚାର କରନ୍ତୁ।"
"କେଉଁ ବୀମା ଟ୍ସୁନାମି କ୍ଷତିକୁ ଆବୃତ୍ କରେ?","ବାନ୍ୟା ବୀମା କିଛି କ୍ଷତିକୁ ଆବୃତ୍ କରିପାରେ, ପଲିସି ତଥ୍ୟ ଯାଞ୍ଚ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରିବାର ଯୋଜନା କିପରି ବନାଇବେ?","ମିଟିଂ ସ୍ଥାନ, ପଳାଇବା ରାସ୍ତା, ସଂପ୍ରେଷଣ ମାଧ୍ୟମ, ଦୂରରେ ସମ୍ପର୍କ।"
"ଟ୍ସୁନାମି ପରେ ପରିବାର ଏକାଠା କେଉଁଠାରେ ହେବ?","ସମସ୍ତଙ୍କ ପାଇଁ ପହଞ୍ଚିପାରିବା ସମୁଦ୍ରକୂଳ ରୁ ଦୂର ଉଚ୍ଚ ଜମି।"
"ଟ୍ସୁନାମି ପଳାଇବା କିପରି ଅଭ୍ୟାସ କରିବେ?","ପଳାଇବା ରାସ୍ତା ଚାଲନ୍ତୁ, ସମୟ ମାପନ୍ତୁ, ବିଭିନ୍ନ ସମୟରେ ଅଭ୍ୟାସ କରନ୍ତୁ।"
"ପଳାଇବା ସମୟରେ ପରିବାର ଜଣେ ବିଭକ୍ତ ହେଲେ କ'ଣ କରିବେ?","ପୂର୍ବନିର୍ଧାରିତ ସ୍ଥାନ ଏବଂ ଦୂରସ୍ଥ ସମ୍ପର୍କ ବ୍ୟବହାର କରନ୍ତୁ।"
"ପ୍ରାଣୀ ପଳାଇବା ପ୍ରସ୍ତୁତି କିପରି କରିବେ?","କ୍ୟାରିଅର୍‌, ଲିଶ୍‌, ଖାଦ୍ୟ, ପାଣି, ଔଷଧ, ପରିଚୟ ପତ୍ର।"
"ଟ୍ସୁନାମି ପଳାଇବା ସମୟରେ ଗାଡ଼ି ଚଳାଇପାରିବେ କି?","ଅବଶ୍ୟକ ହେଲେ ମାତ୍ର, ଟ୍ରାଫିକ୍ ଭିତ୍ତିକ ହୋଇପାରେ - ପାଦଚାଳି ସାଧାରଣତଃ ଶୀଘ୍ର।"
"ଭୂକମ୍ପ ସମୟରେ ସମୁଦ୍ରକୂଳରେ ଥିଲେ କ'ଣ କରିବେ?","ପଡ଼ନ୍ତୁ, ଢାକିବା, ଧରନ୍ତୁ, ତାପରେ ହଠାତ୍ ଉଚ୍ଚ ଜମିକୁ ପଳାନ୍ତୁ।"
"ଟ୍ସୁନାମି ସୂଚନା ହେଲେ ନୌକାରେ ଥିଲେ କ'ଣ କରିବେ?","ଗଭୀର ପାଣିରେ ଥିଲେ ତାହାଁରେ ରୁହନ୍ତୁ, କୂଳରେ ଥିଲେ ଜମିକୁ ଯାଆନ୍ତୁ ଏବଂ ଅନ୍ତର୍ଦେଶକୁ ଗତି କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପଳାଇବା ସମୟରେ କେତେ ଉଚ୍ଚ ସୁରକ୍ଷିତ?","ସାମୁଦ୍ର ସ୍ତରରୁ କମସେ କମ 30 ମିଟର (100 ଫୁଟ) କିମ୍ବା 2 କି.ମି. ଭିତର।"
"ଉଚ୍ଚ ଜମି ନାହିଁ ଥିଲେ କ'ଣ କରିବେ?","ଯଥାସମ୍ଭବ ଭିତରକୁ ଯାଆନ୍ତୁ, ମଜବୁତ୍‌ ଅଫିସ/ଭବନର ଉପର ତଳକୁ ଖୋଜନ୍ତୁ।"
"ଟ୍ସୁନାମି ପଳାଇବା ସମୟରେ ଲିଫ୍ଟ୍‌ ବ୍ୟବହାର କରିବେ କି?","ନାହିଁ, ପାୱାର୍ ବିଫଳ ହେଲେ ଶିଖର ବ୍ୟବହାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ସୂଚନା ହେଲେ ଗାଡ଼ି ଚଳାଉଥିବା ସମୟରେ କ'ଣ କରିବେ?","ସୁରକ୍ଷିତ ଭାବରେ ପାର୍କ୍ କରନ୍ତୁ, ଆପତ୍କାଳୀନ କିଟ୍‌ ନିଅନ୍ତୁ, ପାଦଚାଳି ଉଚ୍ଚ ଜମିକୁ ପଳାନ୍ତୁ।"
"ଟ୍ସୁନାମିକୁ ଗାଡ଼ିରେ ପଳାଇବା ଶକ୍ୟ?","ଅସମ୍ଭବ ଟ୍ରାଫିକ୍‌, ଢେଙ୍କା, ଏବଂ ଟ୍ସୁନାମି ଗତି - ପାଦଚାଳି ସମ୍ଭବ ହେଲେ ପଳାନ୍ତୁ।"
"ପଳାଇବା ରାସ୍ତା ବାଧା ହେଲେ କ'ଣ କରିବେ?","ଉଚ୍ଚ ଜମିକୁ ବିକଳ୍ପ ରାସ୍ତା ଖୋଜନ୍ତୁ, ବିପଦସ୍ଥଳକୁ ଫେରିବେ ନାହିଁ।"
"ପଳାଇବା ସମୟରେ ଅନ୍ୟଙ୍କୁ ସାହାଯ୍ୟ କରିବେ କି?","ସୁରକ୍ଷିତ ଥିଲେ କରନ୍ତୁ, ଜୀବନ ବିପଦରେ ନ ପଡ଼ନ୍ତୁ।"
"ପଳାଇବା ସମୟରେ ଆହତ ବ୍ୟକ୍ତି ମିଳିଲେ କ'ଣ କରିବେ?","ସମ୍ଭବ ହେଲେ ସାହାଯ୍ୟ କରନ୍ତୁ, କିନ୍ତୁ ପ୍ରଥମେ ସୁରକ୍ଷିତ ସ୍ଥାନକୁ ଯାଆନ୍ତୁ।"
"ଚଳନ ସୀମିତ ବ୍ୟକ୍ତି ସହ ପଳାଇବା କିପରି?","ପୂର୍ବପରିକଳ୍ପନା କରନ୍ତୁ, ହ୍ୱିଲଚେୟାର୍/ୱାକର୍ ବ୍ୟବହାର କରନ୍ତୁ, ଅନ୍ୟଙ୍କରୁ ସାହାଯ୍ୟ ନିଅନ୍ତୁ।"
"ସନ୍ତାନ ସହିତ ପଳାଇବା ସମୟରେ କ'ଣ କରିବେ?","ଶିଶୁ ଧରନ୍ତୁ, ଛୋଟ ବାଳକ ହାତ ଧରନ୍ତୁ, ପଳାଇବା ଅଭ୍ୟାସ କରନ୍ତୁ।"
"ବୃଦ୍ଧ/ଦୁର୍ବଳ ବ୍ୟକ୍ତି ପଳାଇବେ କି?","ହଁ, ସାହାଯ୍ୟ ଏବଂ ପରିବହନ ପୂର୍ବପରିକଳ୍ପନା କରନ୍ତୁ।"
"ନିର୍ଦ୍ଦିଷ୍ଟ ପଳାଇବା ଅଞ୍ଚଳ ପହଞ୍ଚିପାରିବେ ନାହିଁ?","ଉଚ୍ଚ ଜମିକୁ ଯାଆନ୍ତୁ, ଭବନର ଉପର ତଳକୁ ବ୍ୟବହାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପାଣିରେ ପଡ଼ିଲେ କ'ଣ କରିବେ?","ତରଙ୍ଗରେ ତରଙ୍ଗିତ ଜିନିଷ ଧରନ୍ତୁ, ପାୱାର୍ ଲାଇନ୍‌ ଏଡ଼ାନ୍ତୁ, ଶୀଘ୍ର ବାହାର ହେବାକୁ ଚେଷ୍ଟା କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପାଣିରେ ସ୍ନାନ କରିପାରିବେ କି?","ଅତ୍ୟନ୍ତ କଠିନ, ଢେଙ୍କା ଏବଂ ଶକ୍ତିଶାଳୀ ପ୍ରବାହ ରହିଛି - ସମ୍ଭବ ହେଲେ ଏଡ଼ାନ୍ତୁ।"
"ପାଣି ଚାରିପାଖରେ ବଢ଼ୁଥିଲେ କ'ଣ କରିବେ?","ଉପଲବ୍ଧ ସର୍ବାଧିକ ସ୍ଥାନକୁ ଚଢ଼ନ୍ତୁ, ସାହାଯ୍ୟ ଡାକନ୍ତୁ, ବିଦ୍ୟୁତ୍ ବିପଦ ଏଡ଼ାନ୍ତୁ।"
"ଟ୍ସୁନାମି ସମୟରେ ଭବନରେ ପ୍ରବେଶ କରିବେ କି?","କେବଳ ଶକ୍ତିଶାଳୀ, ଉଚ୍ଚ ଭବନ, ଶେଷ ବିକଳ୍ପ - ଉଚ୍ଚ ଜମି ଭଲ।"
"ଟ୍ସୁନାମି ଆସି ସ୍ବେପ୍ଟ ହେଲେ କ'ଣ କରିବେ?","ତରଙ୍ଗିତ ଜିନିଷ ଧରନ୍ତୁ, ମୁଣ୍ଡକୁ ଢକନ୍ତୁ, ସୁରକ୍ଷିତ ସ୍ଥାନକୁ ତରଙ୍ଗିତ ହେବା ପୂର୍ବରୁ ସ୍ନାନ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପାଣିରେ ବଞ୍ଚିପାରିବେ କି?","ସମ୍ଭବ, କିନ୍ତୁ ଝୁଞ୍ଜଟପୂର୍ଣ୍ଣ ଡେବ୍ରି, ଦୂଷଣ, ଏବଂ ଶକ୍ତିଶାଳୀ ପ୍ରବାହ।"
"ଟ୍ସୁନାମି ସମୟରେ ଭବନରେ ଫସିଗଲେ କ'ଣ କରିବେ?","ସର୍ବୋଚ୍ଚ ତଳକୁ ଯାଆନ୍ତୁ, ସାହାଯ୍ୟ ପାଇଁ ସଂକେତ କରନ୍ତୁ, ଜନ୍ତ୍ରଣା ଉପରେ ରହନ୍ତୁ।"
"ଟ୍ସୁନାମି ସମୟରେ ସାମଗ୍ରୀ ପାଇଁ ଫେରିବେ କି?","କେବେ ନାହିଁ, ସାମଗ୍ରୀ ପୁନଃପ୍ରାପ୍ତ ହୋଇପାରିବ, ଜୀବନ ନୁହେଁ।"
"ପଳାଇବା ସମୟରେ କେହି ଭୁଲିଗଲେ କ'ଣ କରିବେ?","ଫେରିବେ ନାହିଁ, ନିର୍ଦ୍ଦିଷ୍ଟ ସ୍ଥାନ ସୂଚନା ଆପତ୍କାଳୀନ କର୍ମଚାରୀଙ୍କୁ ଦିଅନ୍ତୁ।"
"ପଳାଇବା ଅଞ୍ଚଳରେ କେତେ ସମୟ ରହିବେ?","କ୍ଷେତ୍ରଧିକାରୀ ସବୁ ନିର୍ଦ୍ଦେଶ ଦେଉଁ ଯାଏଁ ପର୍ଯ୍ୟନ୍ତ, ସାଧାରଣତଃ ଶେଷ ତରଙ୍ଗ ପରେ କିଛି ଘଣ୍ଟା।"
"ପଳାଇବା ସମୟରେ ଟ୍ସୁନାମି ସାଇରେନ୍ ଶୁଣିଲେ କ'ଣ କରିବେ?","ଅତି ସତର୍କ ହୋଇ ପଳାନ୍ତୁ, ସାଇରେନ୍ ବିପଦ ସୂଚାଇଛି।"
"ଟ୍ସୁନାମି ପାଣି ପିଇପାରିବେ କି?","ନାହିଁ, ଲୁଣିଆ, ଢେଙ୍କା ଏବଂ ବିପଦଜନକ ସାମଗ୍ରୀ ମିଶିଛି।"
"ଦୀର୍ଘ ପଳାଇବା ସମୟରେ ଭୁକ୍ତ ହେଲେ କ'ଣ କରିବେ?","ଆପତ୍କାଳୀନ ଖାଦ୍ୟ ସଞ୍ଚୟ ବାଣ୍ଟନ୍ତୁ, ସାହାଯ୍ୟ ପହଞ୍ଚିବାକୁ କିଛି ଘଣ୍ଟା ଲାଗିପାରେ।"
"ଟ୍ସୁନାମି ସମୟରେ ସେଲ୍ ଫୋନ୍ ବ୍ୟବହାର କରିବେ କି?","କେବଳ ଆପତ୍କାଳୀନ ପାଇଁ, ବ୍ୟାଟେରୀ ରକ୍ଷା କରନ୍ତୁ ଏବଂ ନେଟୱର୍କ ଓଭରଲୋଡ୍ ନ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ କେବେ ସୁରକ୍ଷିତ ଫେରିବେ?","କ୍ଷେତ୍ରଧିକାରୀ ସବୁ ନିର୍ଦ୍ଦେଶ ଦେଲେ ଏବଂ ବିପଦ ଯାଞ୍ଚ କଲେ।"
"ଟ୍ସୁନାମି ପରେ ପ୍ରଥମେ କ'ଣ ଯାଞ୍ଚ କରିବେ?","ଢାଞ୍ଞା କ୍ଷତି, ବିଦ୍ୟୁତ୍ ବିପଦ, ଗ୍ୟାସ୍ ଲିକ୍‌, ଦୂଷିତ ପାଣି।"
"ଟ୍ସୁନାମି ପରେ ଗ୍ୟାସ୍ ଲିକ୍‌ ଯାଞ୍ଚ କିପରି କରିବେ?","ଗ୍ୟାସ୍ ଗନ୍ଧ, ସିସା ସୁଣନ୍ତୁ, ମେନ୍ ଭାଲ୍ଭ୍‌ ବନ୍ଦ୍ କରନ୍ତୁ, ଗ୍ୟାସ୍ କମ୍ପାନୀକୁ କଲ୍ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ଦ୍ୱାରା ଘର ବାନ୍ୟା ହେଲେ କ'ଣ କରିବେ?","ଯାଞ୍ଚ ପୂର୍ବରୁ ପ୍ରବେଶ କରନ୍ତୁ ନାହିଁ, ଦୂଷଣ ଧାରଣ କରନ୍ତୁ, ଫୋଟୋ ସହ କ୍ଷତି ଡକ୍ୟୁମେଣ୍ଟ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ ନଳ ପାଣି ପିଇବେ କି?","କ୍ଷେତ୍ରଧିକାରୀ ସୁରକ୍ଷା ନିଶ୍ଚିତ କରିବା ପର୍ଯ୍ୟନ୍ତ ନାହିଁ, ବୋତଲ ବା ଉକ୍ତ ପାଣି ବ୍ୟବହାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ କିପରି ସଫା କରିବେ?","ସୁରକ୍ଷା ପୋଶାକ ପିନ୍ଧନ୍ତୁ, ଦୂଷିତ ସାମଗ୍ରୀ ହଟାନ୍ତୁ, ପୃଷ୍ଠଭୂମି ସଫା ଏବଂ ନିଶ୍ଚିତ ଭାବରେ ଡିସଇନଫେକ୍ଟ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ କ'ଣ ଫେଙ୍ଗିବେ?","ଜଳ ସଂପର୍କିତ ଖାଦ୍ୟ, କ୍ଷତିଗ୍ରସ୍ତ ବିଦ୍ୟୁତ୍ ସାମଗ୍ରୀ, କାର୍ପେଟ୍ ପରି ସୁକୁମାର ସାମଗ୍ରୀ।"
"ଟ୍ସୁନାମି ଢେଙ୍କା ସହ କିପରି ବ୍ୟବହାର କରିବେ?","ଏକାକୀ ହାତଲାଗେନ୍ତୁ ନାହିଁ, ବଡ଼ ଢେଙ୍କା ପ୍ରାଧିକାରୀଙ୍କୁ ରିପୋର୍ଟ କରନ୍ତୁ, ବିପଦଜନକ ସାମଗ୍ରୀ ପାଇଁ ସତର୍କ ରୁହନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ ଯଦି ଇଉଟିଲିଟି କ୍ଷତିଗ୍ରସ୍ତ ହୋଇଛି?","ପ୍ରୋଫେସନାଲ ଯାଞ୍ଚ ଏବଂ ମରାମତି ହେବା ପର୍ଯ୍ୟନ୍ତ ବ୍ୟବହାର କରନ୍ତୁ ନାହିଁ।"
"ଟ୍ସୁନାମି ପରେ ଗାଡ଼ିରେ ପ୍ରବେଶ କରିବେ କି?","ପ୍ରଥମେ ଯାଞ୍ଚ କରନ୍ତୁ, ଲୁଣିଆ ଜଳ ବିଦ୍ୟୁତ୍ ଏବଂ ମେକାନିକାଲ ସିଷ୍ଟମ୍‌କୁ କ୍ଷତି କରିପାରେ।"
"ଟ୍ସୁନାମି କ୍ଷତି ପାଇଁ ବୀମା ଡକ୍ୟୁମେଣ୍ଟ କିପରି କରିବେ?","ସଫା କରିବା ପୂର୍ବରୁ ଫୋଟୋ/ଭିଡିଓ ନିଅନ୍ତୁ, ରସିଦ ରଖନ୍ତୁ, ବୀମା କମ୍ପାନୀ ସହ ତତ୍କାଳ ସମ୍ପର୍କ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ ସାଧାରଣ ଭାବାତ୍ମକ ପ୍ରତିକ୍ରିୟା କ'ଣ?","ଚିନ୍ତା, ଦୁଃଖ, କ୍ରୋଧ, ନିଦ୍ରାରେ କଠିନାଇ - ସବୁ ସାଧାରଣ ମାନସିକ ଚାପ ପ୍ରତିକ୍ରିୟା।"
"ଟ୍ସୁନାମି ପରେ କେବେ ମାନସିକ ସ୍ୱାସ୍ଥ୍ୟ ସହାୟତା ନିଅନ୍ତୁ?","ଲକ୍ଷଣ ଅବିରତ ରହିବା ବା ଦୈନନ୍ଦିନ କାର୍ଯ୍ୟରେ ବାଧା ଦେଲେ।"
"ଟ୍ସୁନାମି ଆଘାତ ସହିତ ସନ୍ତାନକୁ କିପରି ସାହାଯ୍ୟ କରିବେ?","ଆଶ୍ବାସନ ଦିଅନ୍ତୁ, ଦୈନନ୍ଦିନ କ୍ରମ ରଖନ୍ତୁ, ସତ୍ୟ ସହିତ ବୟସ ପାଇଁ ଉଚିତ ସୂଚନା ଦିଅନ୍ତୁ।"
"ଟ୍ସୁନାମିରେ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଡକ୍ୟୁମେଣ୍ଟ ହରାଇଲେ କ'ଣ କରିବେ?","ID, ବୀମା କାଗଜ, ଚିକିତ୍ସା ରେକର୍ଡ ପୁନଃପ୍ରାପ୍ତି ପାଇଁ ସଂସ୍ଥା ସହ ସମ୍ପର୍କ କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ ହରାଇଯାଇଥିବା ପରିବାର ସଦସ୍ୟଙ୍କୁ କିପରି ଖୋଜିବେ?","ରେଡ୍ କ୍ରସ୍ ସହ ସମ୍ପର୍କ କରନ୍ତୁ, ଆପତ୍କାଳୀନ ଶେଲ୍ଟର ଯାଞ୍ଚ କରନ୍ତୁ, ସୁରକ୍ଷିତ ଭାବରେ ସୋସିଆଲ୍ ମିଡିଆ ବ୍ୟବହାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପରେ କେଉଁ ସହାୟତା ମିଳେ?","FEMA ସହାୟତା, ରେଡ୍ କ୍ରସ୍ ସହାୟତା, ସ୍ଥାନୀୟ ଚାରିଟି ସହାୟତା, ବୀମା ଦାବି।"
"ଟ୍ସୁନାମି ପୁନର୍ନିର୍ମାଣ କେତେ ସମୟ ନେଇଥାଏ?","କ୍ଷତି ଗଭୀରତା ଏବଂ ଉପଲବ୍ଧ ସାଧନ ଉପରେ ନିର୍ଭର କରି ମାସ ରୁ ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ।"
"ଟ୍ସୁନାମି ପରେ ସେଇ ଅଞ୍ଚଳରେ ପୁନର୍ନିର୍ମାଣ କରିବା ଉଚିତ କି?","ଉଚ୍ଚତା, ସେଟ୍‌ବ୍ୟାକ୍‌, ଏବଂ ଉନ୍ନତ ନିର୍ମାଣ ପଦ୍ଧତି ବିଚାର କରନ୍ତୁ।"
"ଟ୍ସୁନାମି-ପ୍ରତିରୋଧୀ ନିର୍ମାଣ କ'ଣ?","ଉଚ୍ଚ ଗଠନ, ବ୍ରେକୱେ ଦିଆ ଦେବା ଦିଆଳ, ଶକ୍ତିଶାଳୀ ସାମଗ୍ରୀ, ଯଥାପ୍ରକାର ଡ୍ରେନେଜ୍‌।"
"ବର୍ତ୍ତମାନ ଭବନକୁ ଟ୍ସୁନାମି-ପ୍ରତିରୋଧୀ କିପରି କରିବେ?","ଯୁଟିଲିଟି ଉଚ୍ଚ କରନ୍ତୁ, ବାନ୍ୟା ଭେଣ୍ଟ୍ ସ୍ଥାପନ କରନ୍ତୁ, ଫାଉଣ୍ଡେସନ୍ ସୁଦୃଢ କରନ୍ତୁ, ପଳାଇବା ରାସ୍ତା ସୃଷ୍ଟି କରନ୍ତୁ।"
"ଟ୍ସୁନାମି ପାଇଁ କିଏ ଲ୍ୟାଣ୍ଡସ୍କେପିଂ ସହାୟକ?","ସ୍ୱଦେଶୀ ଉଦ୍ଭିଦ, ପ୍ରାକୃତିକ ବାଧା, ଯେଉଁଥିରେ ରାପ୍ ରନ୍‌ଅପ୍ ବଢ଼ାଏ ନାହିଁ ସେଉଁଥିରୁ ଏଡ଼ାନ୍ତୁ।"
"କୂଳୀୟ ସମୁଦାୟରେ ସିୱାଲ୍ ଥିବା ଉଚିତ କି?","ସାହାଯ୍ୟ କରିପାରେ କିନ୍ତୁ ଭୁଲ ସୁରକ୍ଷା ଦେଇପାରେ, ବଡ଼ ଟ୍ସୁନାମି ସାମ୍ନାରେ ପ୍ରଭାବଶାଳୀ ନୁହେଁ।"
"ଉର୍ଦ୍ଧ୍ୱ ନିର୍ବାସନ କ'ଣ?","ଆଡ଼ାକାଳୀନ ପଳାଇବା ସମ୍ଭବ ନହେଲେ ଭବନରେ ଉପରକୁ ଯିବା।"
"ଉର୍ଦ୍ଧ୍ୱ ନିର୍ବାସନ ଭବନ କେତେ ଉଚ୍ଚ ହେବା ଉଚିତ?","କମସେ କମ 4 ତଳ କିମ୍ବା ପ୍ରତୀକ୍ଷିତ ଟ୍ସୁନାମି ଶକ୍ତି ମୁକାବିଲା ପାଇଁ ଡିଜାଇନ୍ କରାଯାଇଛି।"
"ସଦୃଢ୍ ଟ୍ସୁନାମି ପଳାଇବା ଭବନ କ'ଣ କରେ?","ଶକ୍ତିଶାଳୀ କଂକ୍ରିଟ୍‌, ଇସ୍ତୀଲ୍ ଫ୍ରେମ୍‌, ପ୍ରତୀକ୍ଷିତ ତରଙ୍ଗ ଉଚ୍ଚତାରୁ ଉପରେ, ଏକାଧିକ ପ୍ରବେଶ।"
"ଟ୍ସୁନାମି ପଳାଇବା ରାସ୍ତା କିପରି ଡିଜାଇନ୍ କରିବେ?","ବିପଦ ସ୍ଥାନରୁ ଉଚ୍ଚ ଜମିକୁ ସାଧାରଣ, ସ୍ୱଚ୍ଛ ରାସ୍ତା, ଅବରୋଧ ଏବଂ ଚୋକପଏଣ୍ଟ ହ୍ରାସ କରି।"
"ପଳାଇବା ରାସ୍ତାରେ ସାଇନ୍ ଥିବା ଉଚିତ କି?","ହଁ, ସୁସ୍ପଷ୍ଟ ବହୁଭାଷୀ ସାଇନ୍, ସୁରକ୍ଷିତ ସ୍ଥାନ ପ୍ରଦର୍ଶନ କରିଥାଏ।"
"ପ୍ରାକୃତିକ ବାଧାର ଭୂମିକା କ'ଣ?","ମ୍ୟାଙ୍ଗ୍ରୋଭ୍‌, କୋରାଲ୍ ରୀଫ୍‌, ଡ୍ୟୁନ୍ସ୍ ଟ୍ସୁନାମି ଶକ୍ତି କମାଇପାରେ କିନ୍ତୁ ରୋକିପାରେ ନାହିଁ।"
"ସମୁଦାୟ କିପରି ଟ୍ସୁନାମି ଜ୍ଞାନ ଦେଇଥାଏ?","ସାଧାରଣ ଡ୍ରିଲ୍‌, ସିକ୍ଷା କ୍ୟାମ୍ପେନ୍, ଶିକ୍ଷାଳୟ ପ୍ରୋଗ୍ରାମ୍, ଚେତାବନୀ ପରୀକ୍ଷା।"
"ଟ୍ସୁନାମିରେ TsunamiReady ସର୍ଟିଫିକେସନ୍ କ'ଣ?","NOAA କାର୍ଯ୍ୟକ୍ରମ, ସମୁଦାୟର କାର୍ଯ୍ୟକ୍ଷମ ପ୍ରସ୍ତୁତିକୁ ସ୍ୱୀକୃତି ଦିଏ।"
"ସମୁଦାୟ କେତେ ସମୟ ପର୍ଯ୍ୟନ୍ତ ଡ୍ରିଲ୍ ପ୍ରାକ୍ଟିସ କରିବେ?","କମସେ କମ ପ୍ରତିବଛର, ବିପଦ ସ୍ଥଳରେ ଅଧିକ ମାଳ୍ୟ।"
"ଶିକ୍ଷାଳୟ କ'ଣ କରିବେ?","ପଳାଇବା ଯୋଜନା, ନିୟମିତ ଡ୍ରିଲ୍‌, ଅଭିଭାବକ ସୂଚନା ପ୍ରଣାଳୀ, ଉଚ୍ଚତାରେ ସୁରକ୍ଷିତ ସ୍ଥାନ।"
"ହୋଟେଲ୍ କିପରି ପ୍ରସ୍ତୁତି ନେଇଥାଏ?","ଅତିଥି ଶିକ୍ଷା, ପଳାଇବା ଯୋଜନା, କର୍ମଚାରୀ ତାଲିମ୍, ଆପତ୍କାଳୀନ ସାମଗ୍ରୀ।"
"ହସ୍ପିଟାଲ୍ କ'ଣ କରିବା ଉଚିତ?","ଉଚ୍ଚତା ଯୋଜନା, ବ୍ୟାକ୍ଅପ୍ ପାୱର୍‌, ରୋଗୀ ପଳାଇବା ପ୍ରକ୍ରିୟା, କର୍ମଚାରୀ ତାଲିମ୍।"
"ବନ୍ଦର ଏବଂ ପୋର୍ଟ କିପରି ପ୍ରସ୍ତୁତ?","ଚେତାବନୀ ପ୍ରଣାଳୀ, ଜହାଜ ପଳାଇବା ଯୋଜନା, ପାଇଁ ଢାଞ୍ଞା ସୁରକ୍ଷା, ଆପତ୍କାଳୀନ ପ୍ରତିକ୍ରିୟା।"
"ଆନ୍ତର୍ଜାତୀୟ ଟ୍ସୁନାମି ସହଯୋଗ କ'ଣ?","ଚେତାବନୀ ତଥ୍ୟ ସାଜା କରିବା, ଗବେଷଣା ସହଯୋଗ, ମାନକୃତ ଚେତାବନୀ ପ୍ରଣାଳୀ।"
"ପ୍ୟାସିଫିକ୍ ଟ୍ସୁନାମି ଚେତାବନୀ କେନ୍ଦ୍ର କ'ଣ?","ଆନ୍ତର୍ଜାତୀୟ କେନ୍ଦ୍ର, ପ୍ୟାସିଫିକ୍ ସମୁଦ୍ରର ଟ୍ସୁନାମି ଝୁମ୍ପକୁ ନିରୀକ୍ଷଣ କରେ।"
"ଭିନ୍ନ ଦେଶ କିପରି ଚେତାବନୀ ଶେୟାର କରନ୍ତି?","କ୍ଷେତ୍ରୀୟ ଚେତାବନୀ ନେଟୱର୍କ ଏବଂ ଆନ୍ତର୍ଜାତୀୟ ସଂପ୍ରେଷଣ ପ୍ରଟୋକଲ୍‌ ମାଧ୍ୟମରେ।"
"କ'ଣ ଗବେଷଣା ଟ୍ସୁନାମି ବିଜ୍ଞାନକୁ ଉନ୍ନତ କରୁଛି?","କମ୍ପ୍ୟୁଟର୍ ମଡେଲିଂ, ଐତିହାସିକ ଅଧ୍ୟୟନ, ଭୌଗୋଳିକ ଗବେଷଣା, ପୂର୍ବଚେତାବନୀ ତନ୍ତ୍ର।"
"ବୃତ୍ତାନ୍ତ ଟ୍ସୁନାମି କିପରି ଅଧ୍ୟୟନ କରନ୍ତି?","ତଳସ୍ଥଳୀ ସେଡିମେଣ୍ଟ, କୋରାଲ୍ ବୃଦ୍ଧି ପ୍ରତିକ୍ରମ, ଐତିହାସିକ ରେକର୍ଡ, ଭୌଗୋଳିକ ସାକ୍ଷ୍ୟ।"
"ପାଲିଓଟ୍ସୁନାମିଓଲୋଜି କ'ଣ?","ପୂର୍ବଇତିହାସିକ ଟ୍ସୁନାମିର ଗବେଷଣା ଭୌଗୋଳିକ ଏବଂ ଜୀବବିଜ୍ଞାନ ସାକ୍ଷ୍ୟ ମାଧ୍ୟମରେ।"
